Timestamp,Score,Percentage,Rating,Comment,
19/05/2026 13:57,4,80,5,"this was great
",
19/05/2026 14:14,2,40,4,Very good struggled with some of the questions so i know i need to keep trying it.,
21/05/2026 01:20,0,3,1,rubbish,
26/05/2026 21:28,4,67,4,It was good I learnt a lot but I did wish there were more information with some of the questions,
26/05/2026 21:48,5,7,71,5,Good tips and nice last question to finish off the experience
26/05/2026 22:08,5,5,71,5,Harder than i thought but i learned things
26/05/2026 22:09,1,1,33,4,good i just need to do better
